Sector,Benin,Cape Verde,Ghana,Nigeria,Senegal
"Audiovisual (film, photography, TV, videography)",10.0,10.0,24.0,28.0,0.0
Crafts and artisan products,16.0,3.0,4.0,13.0,14.0
Cultural heritage sites/museums,4.0,24.0,3.0,16.0,14.0
Fashion & Design,5.0,4.0,25.0,24.0,18.0
Festivals and cultural events,25.0,20.0,23.0,3.0,0.0
Marketing/advertising/publishing,17.0,20.0,24.0,24.0,22.0
"Music (artists, production, venues, education)",0.0,19.0,26.0,21.0,26.0
Performing and visual arts,12.0,7.0,5.0,31.0,0.0
