name,country,sector,total_score,maturity_level,social_media,website,visual_content,discoverability,digital_sales,platform_integration
Capvertdesign+Artesanato (Mindelo),Cape Verde,Crafts and artisan products,16.0,Emerging,6.0,2.0,1.0,4.0,1.0,2.0
"CNAD – Centro Nacional de Arte, Artesanato e Design (Mindelo)",Cape Verde,Crafts and artisan products,22.0,Emerging,6.0,9.0,3.0,1.0,2.0,1.0
Jóias & Beleza (Praia),Cape Verde,Crafts and artisan products,3.0,Absent/Basic,3.0,0.0,0.0,0.0,0.0,0.0
Baía das Gatas Music Festival (São Vicente),Cape Verde,Festivals and cultural events,5.0,Absent/Basic,5.0,0.0,0.0,0.0,0.0,0.0
Kriol Jazz Festival (Praia),Cape Verde,Festivals and cultural events,23.0,Emerging,6.0,9.0,2.0,1.0,4.0,1.0
Atlantic Music Expo (Praia),Cape Verde,Festivals and cultural events,24.0,Intermediate,7.0,9.0,2.0,2.0,2.0,2.0
São João Festival (multiple islands),Cape Verde,Festivals and cultural events,13.0,Emerging,0.0,8.0,1.0,1.0,3.0,0.0
Carnival (esp. Mindelo),Cape Verde,Festivals and cultural events,20.0,Emerging,6.0,9.0,1.0,1.0,2.0,1.0
Centro Cultural do Mindelo,Cape Verde,Performing and visual arts,12.0,Emerging,7.0,0.0,1.0,3.0,0.0,1.0
Conservatório Nacional das Artes,Cape Verde,Performing and visual arts,0.0,Absent/Basic,0.0,0.0,0.0,0.0,0.0,0.0
MindelAct – Festival Internacional de Teatro,Cape Verde,Performing and visual arts,5.0,Absent/Basic,5.0,0.0,0.0,0.0,0.0,0.0
Alternativa Galeria (Mindelo),Cape Verde,Performing and visual arts,7.0,Absent/Basic,2.0,0.0,0.0,3.0,0.0,2.0
Visões Africanas (Sal),Cape Verde,Performing and visual arts,7.0,Absent/Basic,2.0,0.0,0.0,3.0,0.0,2.0
Elida Almeida (artist),Cape Verde,"Music (artists, production, venues, education)",5.0,Absent/Basic,5.0,0.0,0.0,0.0,0.0,0.0
Mayra Andrade (artist),Cape Verde,"Music (artists, production, venues, education)",9.0,Absent/Basic,7.0,0.0,2.0,0.0,0.0,0.0
Palácio da Cultura Ildo Lobo (Praia),Cape Verde,"Music (artists, production, venues, education)",5.0,Absent/Basic,5.0,0.0,0.0,0.0,0.0,0.0
Cesária Évora,Cape Verde,"Music (artists, production, venues, education)",18.0,Emerging,2.0,8.0,0.0,5.0,1.0,2.0
"M_EIA – Instituto Universitário de Arte, Tecnologia e Cultura (Mindelo)",Cape Verde,"Music (artists, production, venues, education)",19.0,Emerging,4.0,9.0,2.0,1.0,2.0,1.0
Cabo Verde Fashion Week,Cape Verde,Fashion & Design,3.0,Absent/Basic,3.0,0.0,0.0,0.0,0.0,0.0
Vanessa Monteiro Design (Mindelo),Cape Verde,Fashion & Design,22.0,Emerging,6.0,9.0,1.0,1.0,4.0,1.0
"CNAD – Centro Nacional de Arte, Artesanato e Design",Cape Verde,Fashion & Design,21.0,Emerging,6.0,9.0,2.0,1.0,2.0,1.0
Capvertdesign+Artesanato (Mindelo),Cape Verde,Fashion & Design,16.0,Emerging,6.0,2.0,1.0,4.0,1.0,2.0
Expo Moda & Cultura (São Vicente),Cape Verde,Fashion & Design,4.0,Absent/Basic,4.0,0.0,0.0,0.0,0.0,0.0
RTC – Radiotelevisão Caboverdiana,Cape Verde,"Audiovisual (film, photography, TV, videography)",28.0,Intermediate,8.0,9.0,3.0,1.0,5.0,2.0
Record TV Cabo Verde,Cape Verde,"Audiovisual (film, photography, TV, videography)",25.0,Intermediate,9.0,9.0,3.0,1.0,2.0,1.0
TIVER – Televisão Independente de Cabo Verde,Cape Verde,"Audiovisual (film, photography, TV, videography)",19.0,Emerging,5.0,7.0,2.0,1.0,3.0,1.0
RCV – Rádio de Cabo Verde,Cape Verde,"Audiovisual (film, photography, TV, videography)",26.0,Intermediate,8.0,9.0,2.0,1.0,4.0,2.0
Rádio Cidade 91.1 FM (Praia),Cape Verde,"Audiovisual (film, photography, TV, videography)",10.0,Absent/Basic,1.0,7.0,1.0,0.0,1.0,0.0
Expresso das Ilhas (weekly newspaper),Cape Verde,Marketing/advertising/publishing,26.0,Intermediate,8.0,9.0,2.0,1.0,5.0,1.0
A Nação – Jornal Independente,Cape Verde,Marketing/advertising/publishing,22.0,Emerging,6.0,8.0,2.0,1.0,3.0,2.0
Inforpress – Agência Cabo-verdiana de Notícias,Cape Verde,Marketing/advertising/publishing,23.0,Emerging,7.0,9.0,2.0,0.0,3.0,2.0
EME – Marketing & Eventos,Cape Verde,Marketing/advertising/publishing,22.0,Emerging,6.0,9.0,2.0,1.0,3.0,1.0
Cabo Verde Digital,Cape Verde,Marketing/advertising/publishing,20.0,Emerging,6.0,8.0,1.0,1.0,3.0,1.0
National Commission for Museums & Monuments (NCMM),Nigeria,Cultural heritage sites/museums,21.0,Emerging,6.0,9.0,2.0,1.0,1.0,2.0
"National Museum, Lagos",Nigeria,Cultural heritage sites/museums,15.0,Emerging,8.0,2.0,1.0,2.0,1.0,1.0
Osun-Osogbo Sacred Grove (Osun State),Nigeria,Cultural heritage sites/museums,20.0,Emerging,3.0,6.0,1.0,5.0,3.0,2.0
Sukur Cultural Landscape (Adamawa),Nigeria,Cultural heritage sites/museums,20.0,Emerging,2.0,8.0,2.0,4.0,2.0,2.0
MOWAA – Museum of West African Art (Benin City),Nigeria,Cultural heritage sites/museums,16.0,Emerging,3.0,7.0,2.0,0.0,3.0,1.0
Nike Art Foundation (Lagos/Abuja/Oshogbo),Nigeria,Crafts and artisan products,33.0,Intermediate,7.0,10.0,5.0,4.0,5.0,2.0
Lekki Arts & Crafts Market (Lagos),Nigeria,Crafts and artisan products,26.0,Intermediate,5.0,8.0,2.0,4.0,4.0,3.0
Abuja Arts & Craft Village,Nigeria,Crafts and artisan products,33.0,Intermediate,6.0,7.0,3.0,7.0,5.0,5.0
Nord Collective (Abuja),Nigeria,Crafts and artisan products,15.0,Emerging,4.0,5.0,2.0,1.0,2.0,1.0
Afrocentric Batik Designs by AB (Osogbo),Nigeria,Crafts and artisan products,13.0,Emerging,0.0,8.0,2.0,0.0,3.0,0.0
Felabration (Lagos),Nigeria,Festivals and cultural events,25.0,Intermediate,6.0,9.0,3.0,1.0,4.0,2.0
Calabar Carnival (Cross River),Nigeria,Festivals and cultural events,24.0,Intermediate,4.0,9.0,2.0,3.0,4.0,2.0
Kano Durbar Festival (Kano),Nigeria,Festivals and cultural events,0.0,Absent/Basic,0.0,0.0,0.0,0.0,0.0,0.0
NAFEST – National Festival of Arts & Culture,Nigeria,Festivals and cultural events,13.0,Emerging,5.0,6.0,0.0,0.0,1.0,1.0
Carniriv – Port Harcourt Carnival (Rivers),Nigeria,Festivals and cultural events,3.0,Absent/Basic,3.0,0.0,0.0,0.0,0.0,0.0
Terra Kulture (Lagos),Nigeria,Performing and visual arts,26.0,Intermediate,6.0,9.0,3.0,1.0,5.0,2.0
MUSON Centre (Lagos),Nigeria,Performing and visual arts,30.0,Intermediate,9.0,9.0,3.0,4.0,2.0,3.0
"National Theatre, Lagos",Nigeria,Performing and visual arts,34.0,Intermediate,7.0,9.0,3.0,5.0,5.0,5.0
Terra Academy for the Arts (Lagos),Nigeria,Performing and visual arts,22.0,Emerging,7.0,9.0,3.0,1.0,1.0,1.0
Omenka Gallery (Lagos),Nigeria,Performing and visual arts,31.0,Intermediate,6.0,6.0,3.0,8.0,4.0,4.0
Mavin Records (Lagos),Nigeria,"Music (artists, production, venues, education)",28.0,Intermediate,10.0,9.0,3.0,1.0,4.0,1.0
New Afrika Shrine (Lagos) – venue,Nigeria,"Music (artists, production, venues, education)",12.0,Emerging,5.0,0.0,2.0,4.0,0.0,1.0
Wizkid (artist),Nigeria,"Music (artists, production, venues, education)",28.0,Intermediate,7.0,6.0,3.0,6.0,3.0,3.0
Burna Boy (artist),Nigeria,"Music (artists, production, venues, education)",31.0,Intermediate,9.0,9.0,5.0,2.0,5.0,1.0
Chocolate City (Lagos),Nigeria,"Music (artists, production, venues, education)",21.0,Emerging,7.0,6.0,2.0,1.0,4.0,1.0
Lagos Fashion Week,Nigeria,Fashion & Design,27.0,Intermediate,9.0,9.0,3.0,1.0,3.0,2.0
ARISE Fashion Week (Lagos),Nigeria,Fashion & Design,3.0,Absent/Basic,3.0,0.0,0.0,0.0,0.0,0.0
Fashion Focus Africa (Style House Files),Nigeria,Fashion & Design,25.0,Intermediate,9.0,8.0,2.0,0.0,5.0,1.0
FADAN – Fashion Designers Association of Nigeria,Nigeria,Fashion & Design,23.0,Emerging,7.0,9.0,1.0,1.0,4.0,1.0
Orange Culture (label),Nigeria,Fashion & Design,24.0,Intermediate,7.0,8.0,1.0,1.0,6.0,1.0
